地区,年份,国内生产总值,第一产业增加值,第二产业增加值,第三产业增加值,社会商品零售总额,货物进出口总额,年末总人口,在岗职工平均工资,普通高等学校在校学生数,医院、卫生院数,房地产开发投资额
北京,2017,28014.94,120.42,5326.76,22567.76,11575.4,324017.42,1359.2,134994,59.2878,656,3692.54
天津,2017,18549.19,168.96,7593.59,10786.64,5729.7,112919.17,1049.99,96965,51.4669,426,2233.39
石家庄,2017,6460.88,480.53,2913.91,3066.44,2983.3,12729.27,973.29,67880,46.0695,235,1212.27
太原,2017,3382.18,40.82,1271.42,2069.94,1767.8,13527.18,369.17,72114,44.0173,175,470.63
呼和浩特,2017,2743.72,107.74,755.75,1880.23,1518.8,1599.13,242.85,63084,23.933,108,238.4
沈阳,2017,5864.97,268.22,2261.37,3335.37,3989.8,12845.81,736.95,74181,39.7776,274,814.24
大连,2017,7363.92,477.1,3052.56,3834.26,3722.5,61789.87,594.89,81884,28.4856,153,566.64
长春,2017,6530.03,315.07,3175.22,3039.75,2922.8,14089.55,748.92,73469,43.7812,162,573.78
哈尔滨,2017,6355.05,688.79,1820.73,3845.52,4044.8,3352.93,955,67542,50.8884,310,498.59
上海,2017,30632.99,110.78,9330.67,21191.54,11830.3,476196.65,1455.13,130765,51.4917,363,3856.53
南京,2017,11715.1,263.01,4454.87,6997.22,5604.7,61187.27,680.67,101502,72.154,220,2170.21
杭州,2017,12603.36,311.08,4362.48,7929.8,5717.4,69012.88,753.88,96670,42.5769,302,2734.2
宁波,2017,9842.1,305.8,5119.4,4416.8,4047.8,112196.57,596.93,91705,15.611,154,1374.47
合肥,2017,7213.45,272.75,3643.08,3297.62,2728.5,24958.69,742.76,77484,50.2943,172,1557.41
福州,2017,7103.4,461.2,2913.4,3728.8,4193.9,34445.58,693.35,75133,31.3857,116,1694.18
厦门,2017,4351.7,23.5,1812.2,2516,1446.7,85814.12,231.03,75452,14.0266,51,879.86
南昌,2017,5003.19,192.13,2666.1,2144.96,2097,9885.59,524.66,72686,60.9801,118,790.69
济南,2017,7201.96,317.4,2569.22,4315.34,4146.1,11305.71,643.62,84645,54.4448,238,1232.63
青岛,2017,11037.28,380.97,4546.21,6110.1,4541,74124.17,803.28,83539,34.6238,410,1330.54
郑州,2017,9130.2,158.6,4247.5,4724.1,4057.2,59635.45,842.25,70486,93.5332,219,3358.84
武汉,2017,13410.34,408.2,5861.35,7140.79,6196.3,28597.09,853.65,79684,94.7651,354,2686.34
长沙,2017,10535.51,379.45,4998.25,5157.8,4547.7,13886.04,708.79,85187,61.0379,188,1493.44
广州,2017,21503.15,233.49,6015.29,15254.37,9402.6,143249.69,897.87,98612,106.7335,243,2702.89
深圳,2017,22490.06,19.57,9320.2,13150.28,6016.2,414145.96,434.72,100173,8.0613,135,2130.86
南宁,2017,4118.83,404.18,1599.5,2115.15,2204.2,8970,756.86,75481,42.5726,115,958.09
海口,2017,1390.58,62.51,252.22,1075.85,726.1,3109.28,171.05,68037,12.7323,123,603.25
重庆,2017,19424.73,1276.09,8584.61,9564.03,8067.7,66601.11,3389.82,73272,74.6859,749,3980.08
成都,2017,13889.39,500.87,5998.19,7390.34,6403.5,58315.58,1435.33,79292,81.7432,888,2492.65
贵阳,2017,3537.96,147.33,1375.18,2015.45,1335.3,2991.55,408.31,73939,34.9952,185,1024.09
昆明,2017,4857.64,210.13,1865.97,2781.54,2591,7817.84,562.99,76350,50.3538,308,1683.33
拉萨,2017,479.25,17.54,189.38,272.33,258.8,655.67,54.36,111092,2.0404,28,
西安,2017,7469.85,281.12,2596.08,4592.65,4329.5,37699.78,905.68,77774,72.6752,329,2234.84
兰州,2017,2523.54,61.47,881.74,1580.34,1358.7,1853.01,325.55,75709,40.6279,127,418.26
西宁,2017,1284.91,41.8,556.44,686.67,560.8,485.54,205.58,73540,7.4222,73,351.33
银川,2017,1803.26,61.37,904.29,837.59,562.3,3979.85,188.59,77206,10.1638,70,402.82
乌鲁木齐,2017,2743.82,29.62,827.63,1886.56,1317.1,6807.12,222.62,78072,19.3853,127,422.74